Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region
DIANA JURISIC,Ray White CRE,$550 per week,"303/60-66 Islington Street,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,1 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$680.00,"1a Almond Street,",CAULFIELD SOUTH VIC 3162,2 Beds,1 Bath,1 Parking,,melbourne-vic
David Hua,Ray White Oakleigh,$575,"1 Tandara Court,",CHADSTONE VIC 3148,3 Beds,1 Bath,2 Parking,738m²,melbourne-vic
Matthew Spence,Buxton Keysborough,$750.00,"3 Belsize Way,",KEYSBOROUGH VIC 3173,4 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
DIANA JURISIC,Ray White CRE,$625 per week,"2/35 Powlett Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,,melbourne-vic
Melissa Fredman,Wilson Glen Eira PTY LTD,$700 per week,"2/92 Grange Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,,melbourne-vic
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$750 weekly,"1/7 Ormond Esplanade,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Carnegie Leasing,Woodards Carnegie,$470 per week,"167/115 Neerim Road,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,,melbourne-vic
Kim Te,Motion Property,$610 Per Week,"801/5 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,,melbourne-vic
Manuel Flores,Gotham Property,$400,"1003/408 Lonsdale Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$595 weekly,"3/16 Thackeray Street,",ELWOOD VIC 3184,2 Beds,1 Bath,− Parking,,melbourne-vic
Ashleigh Coutts,Marshall White Bayside,$700.00,"1/127 Dendy Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,2 Parking,,melbourne-vic
Joanne Pearson,McGrath St Kilda,$695 pw,"3/42 Grey Street,",ST KILDA VIC 3182,2 Beds,1 Bath,− Parking,,melbourne-vic
Daniel Hamilton,McGrath,$435 pw,"2/158 Williams Road,",PRAHRAN VIC 3181,1 Bed,1 Bath,1 Parking,,melbourne-vic
David Hua,Ray White Oakleigh,$635,"5 Morgan Street,",CARNEGIE VIC 3163,3 Beds,1 Bath,1 Parking,,melbourne-vic
Daniel Henderson,Haven Agents,$530 per week,"7/102 Broadway,",ELWOOD VIC 3184,1 Bed,1 Bath,1 Parking,,melbourne-vic
Mina Boa,Dingle Partners,$720 pw,"3111/45 Clarke Street,",SOUTHBANK VIC 3006,2 Beds,2 Baths,1 Parking,,melbourne-vic
David Hua,Ray White Oakleigh,$700,"407B/2 Main Road,",CLAYTON SOUTH VIC 3169,2 Beds,2 Baths,− Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Liam Mulligan,BigginScott Richmond,$675 weekly,"419 Punt Rd,",RICHMOND VIC 3121,3 Beds,1 Bath,− Parking,,melbourne-vic
Darren McMullin,Kay & Burton Stonnington,$850 Per Week,"5/10 Irving Avenue,",PRAHRAN VIC 3181,3 Beds,1 Bath,2 Parking,,melbourne-vic
Samantha Lee,Gary Peer,$675 weekly,"2/13 Godfrey St,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,,melbourne-vic
Amy Fiske,Performance Asset Management Melbourne,$595 per week,"5/42 Graham Road,",HIGHETT VIC 3190,2 Beds,1 Bath,1 Parking,,melbourne-vic
Cameron  Gibson,Buxton Stonnington,$500.00,"903/443 Upper Heidelberg Road,",IVANHOE VIC 3079,1 Bed,1 Bath,1 Parking,,melbourne-vic
Michelle Murray,Buxton Real Estate Brighton,"$1,690.00","22A McKittrick Road,",BENTLEIGH VIC 3204,4 Beds,3 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Ysabella Dimitrakopoulos,BigginScott Richmond,$725 weekly,"13 Fraser Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,,melbourne-vic
Christian Neofotistos,Ray White Brunswick,$520,"104/3 Olive York Way,",BRUNSWICK WEST VIC 3055,2 Beds,1 Bath,1 Parking,,melbourne-vic
Cameron  Gibson,Buxton Stonnington,$630.00,"411/9-15 David Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Alicia Cannizzaro,Jellis Craig Northcote,$690.00,"297 Gaffney Street,",PASCOE VALE VIC 3044,3 Beds,1 Bath,3 Parking,,melbourne-vic
Kim Britt,Buxton Real Estate Brighton,"$1,125.00","7A Denton Street,",BRIGHTON EAST VIC 3187,4 Beds,2 Baths,1 Parking,,melbourne-vic
Cara Brand,RT Edgar Mount Eliza | Mount Martha,$550.00,"3/20 Beatty Parade,",MORNINGTON VIC 3931,2 Beds,1 Bath,1 Parking,,melbourne-vic
Jayde Cashion,Jellis Craig Fitzroy,"$1,200.00","9/1 St David Street,",FITZROY VIC 3065,3 Beds,2 Baths,2 Parking,,melbourne-vic
Ysabella Dimitrakopoulos,BigginScott Richmond,"$1,600 weekly","55 Davison Street,",RICHMOND VIC 3121,3 Beds,2 Baths,2 Parking,,melbourne-vic
Leanne Stahmer,Haven Agents,"$1,250 per week","1/24 Middleton Street,",BLACK ROCK VIC 3193,3 Beds,2 Baths,1 Parking,,melbourne-vic
Daniel Henderson,Haven Agents,$575 per week,"2/20 Shirley Grove,",ST KILDA EAST VIC 3183,1 Bed,1 Bath,− Parking,,melbourne-vic
Kerttu  Luik,Buxton St Kilda,$550.00,"1b/21 The Esplanade,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic
Mikaele Horsnell,Harcourts Melbourne City,$550 per week,"16/30 Russell Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$730.00,"2/33 Hartington Street,",ELSTERNWICK VIC 3185,3 Beds,2 Baths,1 Parking,,melbourne-vic
Jay Jacob-Green,Buxton St Kilda,$575.00,"4/8 Westbury Street,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Kate Humphreys,Marshall White Stonnington,"$1,800.00","7/676 Toorak Road,",MALVERN VIC 3144,4 Beds,2 Baths,2 Parking,,melbourne-vic
Michelle De Luca,HEDLEY REAL ESTATE,$570 weekly,"5 Delmore Crescent,",GLEN WAVERLEY VIC 3150,3 Beds,2 Baths,3 Parking,,melbourne-vic
Natalie Subotsch,Gotham Property,$450,"306/399 Bourke Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Melanie Podrebarac,McGrath Northcote,$620 per week,"704/8 Breavington Way,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,,melbourne-vic
Monique Wood,Buxton Oakleigh,"$1,085.00","18 Hilda Street,",MALVERN EAST VIC 3145,4 Beds,2 Baths,− Parking,,melbourne-vic
Gloria Ye,AZeta Real Estate,"$1,250/W UNFURNISHED","7006/228 La Trobe St,",MELBOURNE VIC 3000,3 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Xavier George,Thomson,$730 per week,"5/656 Toorak Road,",TOORAK VIC 3142,3 Beds,1 Bath,1 Parking,,melbourne-vic
Lauren Harris,The Agency Victoria,$650 per week,"401/14 Paper Trail,",ALPHINGTON VIC 3078,2 Beds,2 Baths,1 Parking,,melbourne-vic
Ysabella Dimitrakopoulos,BigginScott Richmond,"$1,300 weekly","112 Kent Street,",RICHMOND VIC 3121,3 Beds,3 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Preet Sandhu,BigginScott Richmond,$850 weekly,"480 Victoria Parade,",EAST MELBOURNE VIC 3002,3 Beds,1 Bath,− Parking,,melbourne-vic
Adam Todisco,Buxton Camberwell,$810.00,"2/1 Vannam Drive,",ASHWOOD VIC 3147,3 Beds,2 Baths,2 Parking,,melbourne-vic
Hansel  Tjahyadi,Home apartments,"$1,500","5801/260 City Road,",SOUTHBANK VIC 3006,3 Beds,2 Baths,1 Parking,,melbourne-vic
Leasing Concierge,Gary Peer,$400 weekly,"9/15 Mozart Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic
Jonathan Boon,Kay & Burton Stonnington,$675 Per Week,"7/21-25 Powlett Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,,melbourne-vic
Adam Todisco,Buxton Camberwell,$590.00,"2/204 Lawrence Road,",MOUNT WAVERLEY VIC 3149,2 Beds,1 Bath,1 Parking,,melbourne-vic
Samantha Lee,Gary Peer,$520 weekly,"2/6 Yorston Ct,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,,melbourne-vic
Brad Graham,Gary Peer,$450 weekly,"G32/11 Bond Street,",CAULFIELD NORTH VIC 3161,1 Bed,1 Bath,1 Parking,,melbourne-vic
Grace Morley,Marshall White Stonnington,$650.00,"8/16 Fulton Street,",ARMADALE VIC 3143,2 Beds,1 Bath,1 Parking,,melbourne-vic
Mikaele Horsnell,Harcourts Melbourne City,$575 per week,"406/422 Collins Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,,melbourne-vic
Conny Yang,Waterdale Property Agent Pty Ltd,$630 per Week,"2008/65 Dudley Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Hansel  Tjahyadi,Home apartments,$650,"1606/260 City,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic
Hansel  Tjahyadi,Home apartments,$595,"203/260 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic
Hansel  Tjahyadi,Home apartments,$650,"1601/260 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic
David Hua,Ray White Oakleigh,$350,"4/798 Warrigal Road,",MALVERN EAST VIC 3145,1 Bed,1 Bath,1 Parking,,melbourne-vic
Joanne Pearson,McGrath St Kilda,$750 pw,"6A Victoria Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic
Stephanie Pascoe,Hodges Real Estate Sandringham,"$1,550.00","53 Marriage Road,",BRIGHTON EAST VIC 3187,4 Beds,3 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,$800 per week,"8 Orford Street,",MOONEE PONDS VIC 3039,3 Beds,2 Baths,2 Parking,,melbourne-vic
Jodie Bond,Buxton Real Estate Sandringham,$695.00,"32 Bridport Street,",SOUTH MELBOURNE VIC 3205,2 Beds,1 Bath,− Parking,,melbourne-vic
Conny Yang,Waterdale Property Agent Pty Ltd,$730 per Week,"2316/65 Dudley Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Manuel Flores,Gotham Property,$390,"310/408 Lonsdale Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$2000 per week,"102/35 Spring Street,",MELBOURNE VIC 3000,3 Beds,2 Baths,2 Parking,,melbourne-vic
Hannah Zadeh,McGrath St Kilda,$740 pw,"205E/93-119 Kavanagh Street,",SOUTHBANK VIC 3006,2 Beds,2 Baths,− Parking,,melbourne-vic
Abie Munz,McGrath St Kilda,$560 pw,"305B/21 Inkerman Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic
Natalie Subotsch,Gotham Property,$500,"511/9 Dryburgh Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic
Michelle Chiu,Gotham Property,"$1,100","2 Russell Street,",PRAHRAN VIC 3181,3 Beds,2 Baths,2 Parking,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$850 per week,"604/35-43 Dryburgh Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,melbourne-vic
Shermta Flomo,Woodards South Yarra,$300 pw,"3/37 Hope Street,",SOUTH YARRA VIC 3141,− 0 Beds,1 Bath,− Parking,,melbourne-vic
Glenda Martin,Fletchers Canterbury,$600 weekly,"1/18 Normanby Street,",HUGHESDALE VIC 3166,2 Beds,1 Bath,1 Parking,,melbourne-vic
Monique Wood,Buxton Oakleigh,$650.00,"101 Springs Road,",CLAYTON SOUTH VIC 3169,3 Beds,2 Baths,6 Parking,,melbourne-vic
Angus Brayshaw,Richardson & Wrench Projects Victoria,$620 per week,"14 Catherine Walk,",WOLLERT VIC 3750,4 Beds,3 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Leasing Team,Besser & Co. Estate Agents,$690,"105/179 Booran Road,",CAULFIELD SOUTH VIC 3162,3 Beds,2 Baths,2 Parking,,melbourne-vic
Renee Whitehouse,Harris Property - Melbourne,$440 weekly,"5 Kenley Ct,",MEADOW HEIGHTS VIC 3048,3 Beds,1 Bath,3 Parking,,melbourne-vic
Daniel Hamilton,McGrath,$440 pw,"9/53 Batman Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$780.00,"203/6 Percy Place,",PRAHRAN VIC 3181,2 Beds,2 Baths,1 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$800.00,"G04/6 Percy Place,",PRAHRAN VIC 3181,2 Beds,2 Baths,1 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,"$1,495.00","136 Sycamore Street,",CAULFIELD SOUTH VIC 3162,4 Beds,2 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Ismaeel Hussain,Samma Real Estate,$500 per week,"14 League Street,",WERRIBEE VIC 3030,4 Beds,2 Baths,2 Parking,,melbourne-vic
Melanie Jones,Jellis Craig Inner West,$650.00,"69 Speight Street,",NEWPORT VIC 3015,3 Beds,1 Bath,1 Parking,,melbourne-vic
Alicia Cannizzaro,Jellis Craig Northcote,$720.00,"3/88 Brunswick Road,",BRUNSWICK VIC 3056,2 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Kim Te,Motion Property,$620 per week,"801/2 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,,melbourne-vic
Danielle Ryan,The Core Advisory Team VIC,$750pw,"13/299 Dandenong Road,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,,melbourne-vic
Alexander Gorejena,aussieproperty.com,$550,"13/9 Wilks Street,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,,melbourne-vic
Matthew Swinnerton,Ray White Oakleigh,$885,"2/8 Oberon Avenue,",OAKLEIGH EAST VIC 3166,4 Beds,2 Baths,− Parking,,melbourne-vic
Matthew Swinnerton,Ray White Oakleigh,$940,"1/8 Oberon Avenue,",OAKLEIGH EAST VIC 3166,4 Beds,2 Baths,2 Parking,,melbourne-vic
Bradley Small,Beck & Small Property,$600.00,"6/11 Wando Grove,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,2 Parking,,melbourne-vic
Melanie Jones,Jellis Craig Inner West,$580.00,"36 Duosa Road,",ALTONA NORTH VIC 3025,3 Beds,1 Bath,2 Parking,,melbourne-vic
Maddy Stubbs,Wilson Glen Eira PTY LTD,$385 per week,"6/39 Southey Street,",ELWOOD VIC 3184,1 Bed,1 Bath,1 Parking,,melbourne-vic
Carolina  Hernandez,Gotham Property,$450,"1001/172 William Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Kim Te,Motion Property,$500 per week,"903/4 Joseph Road,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,1 Parking,,melbourne-vic
Michelle Murray,Buxton Real Estate Brighton,$990.00,"2/13 Hume Street,",BEAUMARIS VIC 3193,3 Beds,2 Baths,3 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Dimitra Kerhoulas,Biggin Scott Elsternwick,$625 per week,"5/43 Shelley Street,",ELWOOD VIC 3184,2 Beds,1 Bath,− Parking,,melbourne-vic
Adam Todisco,Buxton Camberwell,$485.00,"1/13 Clendon Road,",ARMADALE VIC 3143,1 Bed,1 Bath,− Parking,,melbourne-vic
Debbie Davut,Kay & Burton Stonnington,$715 Per Week,"117/1 Albert Road,",MELBOURNE VIC 3000,1 Bed,1 Bath,1 Parking,,melbourne-vic
Debbie Davut,Kay & Burton Stonnington,$750 Per Week,"108/250 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,2 Parking,,melbourne-vic
David Hua,Ray White Oakleigh,$490.00 per week,"3/218 Warrigal Road,",OAKLEIGH SOUTH VIC 3167,2 Beds,1 Bath,2 Parking,,melbourne-vic
Certainty  Property Vic,Certainty Property,$200,"2 Caspian Court,",NEWBOROUGH VIC 3825,1 Bed,1 Bath,− Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Amelia Falvo,Marshall White Bayside,$910.00,"67A Sims Street,",SANDRINGHAM VIC 3191,3 Beds,2 Baths,2 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$900.00,"6/1a Ripley Grove,",CAULFIELD NORTH VIC 3161,3 Beds,2 Baths,2 Parking,,melbourne-vic
Carnegie Leasing,Woodards Carnegie,$420 per week,"10/70 Grange Road,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Debbie Davut,Kay & Burton Stonnington,$725 Per Week,"141/1 Albert Road,",MELBOURNE VIC 3000,1 Bed,1 Bath,1 Parking,,melbourne-vic
Megan Taylor,Kay & Burton Bayside,$2150 Per Week,"2B Connor Street,",BRIGHTON EAST VIC 3187,4 Beds,3 Baths,2 Parking,,melbourne-vic
Marie Demiris,McGrath Northcote,$520 per week,"201/450 Bell Street,",PRESTON VIC 3072,2 Beds,2 Baths,1 Parking,,melbourne-vic
Daniel Hamilton,McGrath,$525 pw,"266/183 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic
Kerttu  Luik,Buxton St Kilda,$575.00,"6/39 Mitford Street,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,,melbourne-vic
Mikaele Horsnell,Harcourts Melbourne City,$650 per week,"208/616 Little Collins Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,,melbourne-vic
Victoria Ryan,HEDLEY REAL ESTATE,$450 weekly,"1502/565 Flinders St,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
Zarah Baker,Buxton Real Estate Brighton,$650.00,"2/59 Black Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,2 Parking,,melbourne-vic
Samantha Brennan,Buxton St Kilda,$695.00,"223/360 St Kilda Road,",MELBOURNE VIC 3004,2 Beds,2 Baths,1 Parking,,melbourne-vic
Daniel Hamilton,McGrath,$550 pw Furnished,"1210/8 Marmion Place,",DOCKLANDS VIC 3008,1 Bed,1 Bath,1 Parking,,melbourne-vic
Daniel Hamilton,McGrath,$325 pw Furnished,"28/38 Charnwood Road,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Daniel Hamilton,McGrath,$515 pw,"321/20 Shamrock Street,",ABBOTSFORD VIC 3067,2 Beds,1 Bath,− Parking,,melbourne-vic
Thea Toogood,Jellis Craig & Company Pty Ltd,$575.00,"15/1810 Malvern Road,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,,melbourne-vic
George Laliotis,MPC Moss Property Consultants,$625 per week,"1/32 Kelly Street,",CHADSTONE VIC 3148,2 Beds,1 Bath,2 Parking,,melbourne-vic
Daniel Hamilton,McGrath,$560 pw,"56/416 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,− Parking,,melbourne-vic
Elizabeth Lopez,Beck & Small Property,"$1,200.00","8 Wellington Street,",BRIGHTON VIC 3186,3 Beds,1 Bath,2 Parking,,melbourne-vic
Kimberley Drew,Buxton Stonnington,$550.00,"205/405 St Kilda Road,",MELBOURNE VIC 3004,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Lauren Harris,The Agency Victoria,$625 per week,"29 Edmondshaw Drive,",DEER PARK VIC 3023,5 Beds,2 Baths,2 Parking,,melbourne-vic
Daniel Hatchuel,Performance Asset Management Melbourne,$550 per week,"1/5 Northumberland Rd,",PASCOE VALE VIC 3044,2 Beds,1 Bath,1 Parking,,melbourne-vic
Kerttu Luik,Buxton Port Phillip,$530.00,"4/1-3 Graylings Avenue,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Shermta Flomo,Woodards South Yarra,$750 pw,"1004/12-14 Claremont Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,,melbourne-vic
Harry Whitford,BigginScott Richmond,$725 weekly,"1/1163 Nepean Hwy,",HIGHETT VIC 3190,3 Beds,2 Baths,2 Parking,,melbourne-vic
Alicia Cannizzaro,Jellis Craig Northcote,$470.00,"309/231 St Georges Road,",NORTHCOTE VIC 3070,1 Bed,1 Bath,1 Parking,,melbourne-vic
Danielle Crumblehulme,Marshall White Stonnington,"$1,000.00","78 Domain Street,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,− Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$595 per week,"102/629-631 Glen Huntly Road,",CAULFIELD SOUTH VIC 3162,2 Beds,2 Baths,1 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$780 per week,"2/8 Byron Street,",CARNEGIE VIC 3163,3 Beds,2 Baths,2 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$545.00,"4/18 King Street,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$395 per week,"2/55 Blackwood Street,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$650.00,"6/15 Malvern Grove,",CAULFIELD NORTH VIC 3161,3 Beds,1 Bath,1 Parking,,melbourne-vic
Lucy Redman,RT Edgar Glen Eira,$695.00,"4/83 Orrong Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,2 Parking,,melbourne-vic
DIANA JURISIC,Ray White CRE,$750,"5 Green Place,",EAST MELBOURNE VIC 3002,2 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Jay Girn,Dingle Partners,$475.00 pw,"1901/675 La Trobe Street,",DOCKLANDS VIC 3008,1 Bed,1 Bath,− Parking,,melbourne-vic
Seona Kelly,Dingle Partners,$420.00 pw,"909/422 Collins Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic
GRE Rentals,Grantham Real Estate,$850,"G4/3 Centennial Avenue,",BRUNSWICK WEST VIC 3055,3 Beds,2 Baths,1 Parking,180m²,melbourne-vic
Simone Buckley,Buxton Real Estate Sandringham,"$1,400.00","136 Beach Road,",SANDRINGHAM VIC 3191,3 Beds,2 Baths,4 Parking,,melbourne-vic
Danielle Crumblehulme,Marshall White Stonnington,$720.00,"2/21 Grange Road,",TOORAK VIC 3142,2 Beds,3 Baths,2 Parking,,melbourne-vic
Katie Davidson,Buxton Real Estate Dingley Village,$550.00,"19 Dingley Court,",DINGLEY VILLAGE VIC 3172,3 Beds,1 Bath,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Jemma Wilksch,Chisholm & Gamon Elwood,"$2,700 weekly","98 Broadway,",ELWOOD VIC 3184,5 Beds,4 Baths,3 Parking,,melbourne-vic
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$650 weekly,"51 Dunstan Parade,",PORT MELBOURNE VIC 3207,3 Beds,1 Bath,− Parking,,melbourne-vic
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$360 weekly,"5/169 Ormond Road,",ELWOOD VIC 3184,1 Bed,1 Bath,− Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Paul West,Hodges Real Estate Brighton,$750.00,"10 Thomas Street,",WINDSOR VIC 3181,2 Beds,1 Bath,− Parking,,melbourne-vic
Bo Natoli,Buxton Stonnington,$650.00,"14/310 Inkerman Street,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,,melbourne-vic
Neil Harris,Marshall White Port Phillip,"$1,075.00","7B/171 Fitzroy Street,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,,melbourne-vic
Andrea Picone,Dingle Partners,$625 pw,"1907/250 City Road,",SOUTHBANK VIC 3006,2 Beds,1 Bath,− Parking,,melbourne-vic
Daniel Hamilton,McGrath,$625 pw,"1/16 Fawcett Street,",SUNSHINE NORTH VIC 3020,3 Beds,2 Baths,2 Parking,213m²,melbourne-vic
DIANA JURISIC,Ray White CRE,$650 per week,"801c/11 Shamrock Street,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,,melbourne-vic
Steven Biggins,RT Edgar Glen Eira,$980.00,"8/10 Princes Street,",CAULFIELD NORTH VIC 3161,3 Beds,2 Baths,4 Parking,,melbourne-vic
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$700.00 per week,"105/11 Jackson Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,,melbourne-vic
Jodie Bond,Buxton Real Estate Sandringham,"$1,520.00","25b Teddington Road,",HAMPTON VIC 3188,4 Beds,3 Baths,2 Parking,,melbourne-vic
Anna Nguyen,Life Property Management,$700,"527/11 Wellington Street,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,1 Parking,,melbourne-vic
Emily Nash,Fletchers Canterbury,$750 weekly,"1408/8 Daly Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Debbie Davut,Kay & Burton Stonnington,$1600 Per Week,"156 Mills Street,",ALBERT PARK VIC 3206,2 Beds,2 Baths,1 Parking,,melbourne-vic
Suzette Tayler,Buxton Stonnington,$780.00,"608/1 Roy Street,",MELBOURNE VIC 3004,2 Beds,2 Baths,1 Parking,,melbourne-vic
Simone Buckley,Buxton Real Estate Sandringham,$695.00,"38 Miller Street,",HIGHETT VIC 3190,3 Beds,2 Baths,2 Parking,,melbourne-vic
Mary Corso,Victoria Real Estate Agency Pty Ltd,$650 PER WEEK,"40 Morell Street,",GLENROY VIC 3046,3 Beds,2 Baths,1 Parking,,melbourne-vic
Kim Te,Motion Property,$440 per week,"408/11 Urquhart Street,",COBURG VIC 3058,1 Bed,1 Bath,− Parking,,melbourne-vic
Prasheeta Kuver,Wilson Glen Eira PTY LTD,$320 per week,"6/23 Bendigo Avenue,",ELWOOD VIC 3184,1 Bed,1 Bath,− Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
Christian Neofotistos,Ray White Brunswick,$650,"51 Sutherland Street,",BRUNSWICK VIC 3056,3 Beds,1 Bath,3 Parking,,melbourne-vic
Prasheeta Kuver,Wilson Glen Eira PTY LTD,$850 per week,"303/30 Rakaia Way,",DOCKLANDS VIC 3008,2 Beds,2 Baths,2 Parking,,melbourne-vic
Angus Brayshaw,Richardson & Wrench Projects Victoria,$620 per week,"17 Watercolour Drive,",MERNDA VIC 3754,4 Beds,2 Baths,2 Parking,,melbourne-vic
,,,,,,,,,melbourne-vic
